date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
01/15/2016 12:00:00 AM,3.09,6.07,100,5.80,95.8,4.21,10.2,
07/15/2012 12:00:00 AM,5.9,12.88,100,9.09,90.9,7.60,3.3,
03/15/1992 12:00:00 AM,2.67,4.38,,3.97,95.9,,,
11/15/2008 12:00:00 AM,5.76,8.78,100,8.25,95.8,8.98,0.6,4.20
01/15/1989 12:00:00 AM,2.83,4.30,,3.95,98,,,
05/15/2010 12:00:00 AM,5.2,8.02,100,7.18,93.8,4.65,5.3,4.95
06/15/2009 12:00:00 AM,5.16,12.04,100,7.70,90.1,7.50,0.4,3.79
09/15/2007 12:00:00 AM,5.64,11.43,100,8.13,95.6,7.12,0.7,2.10
10/15/2008 12:00:00 AM,5.31,9.84,100,9.12,95.9,16.25,0.4,4.47
02/15/1993 12:00:00 AM,2.67,4.22,,3.95,96.4,,,
10/15/2009 12:00:00 AM,4.68,8.92,100,8.00,97.1,7.86,0.5,4.94
09/15/1992 12:00:00 AM,3.67,5.89,,4.32,93.6,,,
08/15/1991 12:00:00 AM,3.56,6.21,,4.39,93.9,,,
08/15/1998 12:00:00 AM,2.26,7.56,,4.40,91.1,,,
11/15/2016 12:00:00 AM,3.88,7.38,100,6.61,94.8,5.02,7.7,
12/15/1992 12:00:00 AM,2.81,4.17,,3.84,96.2,,,
07/15/2017 12:00:00 AM,5.09,14.70,100,9.53,91,6.35,5.4,
11/15/2010 12:00:00 AM,4.18,7.56,100,7.22,95.5,5.71,5.5,4.99
09/15/2006 12:00:00 AM,6.99,13.23,100,10.69,96.6,11.66,1,5.13
09/15/1991 12:00:00 AM,3.49,6.14,,4.44,93.6,,,
02/15/1995 12:00:00 AM,2.7,4.56,,4.24,96,,,
07/15/1998 12:00:00 AM,2.09,6.43,,4.91,92,,,
06/15/1997 12:00:00 AM,2.57,5.94,,4.23,92.9,,,
06/15/2003 12:00:00 AM,2.18,9.31,100,6.92,96,4.26,0.9,5.13
08/15/2005 12:00:00 AM,3.33,13.36,100,9.80,94.4,8.95,0.6,6.77
07/15/2001 12:00:00 AM,3.31,12.60,,9.57,98.7,6.64,2.9,
05/15/2013 12:00:00 AM,5.65,8.88,100,7.63,93.1,6.05,4.9,
12/15/2012 12:00:00 AM,4.05,7.03,100,7.09,92.9,5.33,9,
02/15/1997 12:00:00 AM,3.01,4.31,,3.83,95.4,,,
08/15/2008 12:00:00 AM,9.05,16.13,100,11.42,94.8,10.01,0.5,7.43
12/15/2007 12:00:00 AM,6.28,8.30,100,8.11,99.4,7.39,0.1,6.45
11/15/2002 12:00:00 AM,3.01,4.80,100,4.35,96.9,5.49,0.6,3.01
04/15/2008 12:00:00 AM,7.49,10.43,100,9.43,93.1,6.86,0.5,8.61
10/15/2017 12:00:00 AM,3.96,8.44,100,7.25,94.1,7.00,6.2,
09/15/1990 12:00:00 AM,3.38,6.03,,4.33,95.5,,,
03/15/1997 12:00:00 AM,2.32,4.38,,3.97,94.4,,,
02/15/1990 12:00:00 AM,2.8,4.29,,3.91,98,,,
07/15/1991 12:00:00 AM,3.48,5.92,,4.40,93.7,,,
05/15/1991 12:00:00 AM,3.09,4.68,,4.08,96.9,,,
07/15/1995 12:00:00 AM,3.7,5.96,,4.56,92.3,,,
05/15/2007 12:00:00 AM,6.31,10.48,100,8.81,89.3,7.55,0.5,4.38
11/15/2001 12:00:00 AM,3.05,6.14,,5.18,100,4.12,0.4,
11/15/1996 12:00:00 AM,3.13,4.31,,3.41,92.8,,,
01/15/1999 12:00:00 AM,2.25,4.73,,4.42,97.5,,,
01/15/2003 12:00:00 AM,3.62,4.56,100,4.23,95,7.12,0.1,3.30
01/15/2000 12:00:00 AM,2.34,5.04,,4.77,98.8,,,
11/15/2015 12:00:00 AM,3.24,6.92,100,6.40,95.6,5.20,9,
11/15/1989 12:00:00 AM,2.73,4.75,,4.10,96.9,,,
10/15/2012 12:00:00 AM,4.17,8.59,100,7.98,91,6.30,5.8,
12/15/2015 12:00:00 AM,3.07,6.48,100,6.10,95.7,4.52,9.7,
08/15/2014 12:00:00 AM,6.34,15.47,100,10.96,91,8.05,4.7,
04/15/2011 12:00:00 AM,5.25,7.83,100,7.29,92.2,5.42,8.6,5.26
10/15/2002 12:00:00 AM,2.08,5.27,100,4.27,96.1,4.65,0.7,2.36
06/15/2010 12:00:00 AM,6.2,11.16,100,8.28,93.1,4.86,3.9,5.25
03/15/1990 12:00:00 AM,2.79,4.31,,3.90,97.9,,,
02/15/2014 12:00:00 AM,5.99,7.84,100,7.50,95.4,6.67,8.6,
11/15/1995 12:00:00 AM,2.56,4.52,,3.87,93.5,,,
11/15/1993 12:00:00 AM,2.9,4.55,,4.13,94.1,,,
05/15/2008 12:00:00 AM,9.17,12.75,100,10.47,92,7.59,0.5,9.45
01/15/1998 12:00:00 AM,2.97,4.58,,4.34,95.4,,,
08/15/1996 12:00:00 AM,2.29,6.74,,4.03,87.1,,,
05/15/2003 12:00:00 AM,5.76,8.22,100,6.79,93,4.15,0.8,
03/15/2017 12:00:00 AM,3.65,7.92,100,7.09,94.1,5.60,7.2,
